Transaction_ID,Date,Product_Category,Unit_Price,Quantity,Shipping_Cost,Shipping_Method,Customer_Rating
TRX-10000,2023-03-29,Smartphone,59.83,31,33.89,Express,
TRX-10001,2023-07-02,Headphones,60.52,15,44.63,Express,4.0
TRX-10002,2023-11-24,Laptop,1068.46,17,43.26,Standard Ground,2.0
TRX-10003,2023-10-07,Smartwatch,1126.51,25,23.1,Express,4.0
TRX-10004,2023-05-14,Smartphone,1425.71,22,24.68,Standard Ground,5.0
TRX-10005,2023-09-06,Laptop,1351.7,42,35.49,Overnight,5.0
TRX-10006,2023-08-15,Smartwatch,361.02,45,20.26,Express,4.0
TRX-10007,2023-08-09,Smartwatch,1987.72,11,44.2,Express,4.0
TRX-10008,2023-01-04,Tablet,1437.34,4,27.45,Standard Ground,1.0
TRX-10009,2023-05-04,Headphones,1011.16,24,29.18,International,4.0
TRX-10010,2023-03-12,Monitor,1555.36,18,45.12,International,2.0
TRX-10011,2023-04-07,Tablet,417.18,50,39.16,International,5.0
TRX-10012,2023-02-18,Smartphone,1429.66,19,44.33,Express,4.0
TRX-10013,2023-08-20,Monitor,637.46,21,9.12,Standard Ground,5.0
TRX-10014,2023-02-10,Headphones,1448.75,47,26.02,Standard Ground,5.0
TRX-10015,2023-02-11,Monitor,412.56,47,14.01,Overnight,
TRX-10016,2023-03-21,Headphones,980.28,27,30.57,Standard Ground,1.0
TRX-10017,2023-07-31,Smartphone,392.02,30,32.63,Standard Ground,5.0
TRX-10018,2023-04-20,Tablet,1287.62,6,35.12,International,
TRX-10019,2023-05-16,Headphones,555.51,11,36.41,Overnight,
TRX-10020,2023-02-15,Smartphone,1730.44,38,42.25,Express,3.0
TRX-10021,2023-09-23,Smartwatch,257.84,32,15.08,Overnight,
TRX-10022,2023-10-01,Monitor,398.0,28,5.94,International,5.0
TRX-10023,2023-07-08,Headphones,127.38,33,12.62,Express,3.0
TRX-10024,2023-03-23,Monitor,274.58,47,23.66,Overnight,4.0
TRX-10025,2023-11-01,Tablet,1301.77,16,23.97,Express,3.0
TRX-10026,2023-07-01,Smartwatch,1310.8,39,26.72,Standard Ground,5.0
TRX-10027,2023-04-09,Tablet,481.5,4,44.05,Overnight,5.0
TRX-10028,2023-12-08,Tablet,655.64,37,16.92,International,5.0
TRX-10029,2023-02-06,Smartphone,760.73,13,32.11,Standard Ground,3.0
TRX-10030,2023-12-15,Laptop,1365.49,5,25.59,Express,1.0
TRX-10031,2023-03-25,Headphones,1055.9,50,36.36,International,2.0
TRX-10032,2023-10-30,Smartwatch,1477.66,6,27.21,International,1.0
TRX-10033,2023-12-05,Monitor,761.15,26,29.58,Standard Ground,4.0
TRX-10034,2023-12-02,Laptop,579.17,26,14.23,,1.0
TRX-10035,2023-03-08,Smartphone,1056.85,40,17.51,International,3.0
TRX-10036,2023-12-09,Laptop,1236.08,32,24.91,International,5.0
TRX-10037,2023-07-18,Monitor,868.05,28,9.54,International,5.0
TRX-10038,2023-02-09,Headphones,1093.09,12,22.51,Overnight,1.0
TRX-10039,2023-08-13,Smartwatch,1980.33,5,41.17,Overnight,5.0
